"1","0.000000","142.164.6.70","131.243.1.10","TCP","62","1313  >  21 [SYN] Seq=1734984547 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"91","105.078090","73.6.91.115","131.243.2.12","TCP","62","2027  >  21 [SYN] Seq=4190971401 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"400","222.785014","82.143.24.12","131.243.2.12","TCP","62","3537  >  21 [SYN] Seq=2986625670 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"485","251.651531","79.37.53.67","131.243.2.12","TCP","62","35280  >  21 [SYN] Seq=4133316359 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"730","372.521806","67.243.63.146","131.243.1.10","TCP","62","1380  >  21 [SYN] Seq=3849101 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"1343","499.134708","40.175.116.120","128.3.12.44","TCP","78","45958  >  21 [SYN] Seq=897728278 Win=16384 Len=0 MSS=1460 SACK_PERM=1 WS=1 TSval=959726359 TSecr=0"
"1762","690.823856","172.211.70.122","131.243.1.10","TCP","74","40037  >  21 [SYN] Seq=2645955037 Win=5840 Len=0 MSS=1460 TSval=317460990 TSecr=0 WS=2"
"1831","697.902054","245.22.38.204","203.174.5.11","TCP","62","3157  >  21 [SYN] Seq=1981005324 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"1966","778.278657","180.69.204.185","131.243.1.10","TCP","74","1494  >  21 [SYN] Seq=2848098330 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=1981421 TSecr=0 WS=1"
"2043","836.432440","89.42.124.234","203.174.5.11","TCP","62","1158  >  21 [SYN] Seq=3481078044 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"2125","1199.329314","230.23.2.245","131.243.1.10","TCP","74","35879  >  21 [SYN] Seq=3166086907 Win=5808 Len=0 MSS=1412 SACK_PERM=1 TSval=9278925 TSecr=0 WS=1"
"2161","1201.271073","207.82.132.32","131.243.193.93","TCP","74","65056  >  21 [SYN] Seq=3425332968 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=2653119 TSecr=0 WS=1"
"2390","1575.626263","122.28.199.241","131.243.1.10","TCP","62","3136  >  21 [SYN] Seq=2969649892 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"2517","1702.802170","104.205.27.72","128.3.28.48","TCP","74","42009  >  21 [SYN] Seq=3905625284 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=202397446 TSecr=0 WS=1"
"2607","1792.402291","4.251.189.14","131.243.1.10","TCP","74","46315  >  21 [SYN] Seq=3795674049 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=24626074 TSecr=0 WS=1"
"2678","1814.810246","148.111.20.136","131.243.1.10","TCP","74","43567  >  21 [SYN] Seq=3822039560 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=74020629 TSecr=0 WS=1"
"2803","1874.840447","24.239.126.222","131.243.1.10","TCP","74","57740  >  21 [SYN] Seq=1079805767 Win=32768 Len=0 MSS=1460 WS=1 TSval=3497007375 TSecr=0"
"2867","1898.205790","249.44.109.25","128.3.28.48","TCP","74","2932  >  21 [SYN] Seq=3899323806 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=134926338 TSecr=0 WS=1"
"2948","2182.202389","62.87.148.206","131.243.1.10","TCP","62","20553  >  21 [SYN] Seq=1533753869 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3147","2342.012401","168.29.177.209","131.243.1.10","TCP","58","4616  >  21 [SYN] Seq=425406182 Win=4096 Len=0 MSS=1460"
"3187","2398.835045","127.115.69.174","131.243.1.10","TCP","74","54196  >  21 [SYN] Seq=134031576 Win=5840 Len=0 MSS=1460 TSval=306876388 TSecr=0 WS=1"
"3274","2427.837515","209.75.218.182","131.243.1.10","TCP","74","33006  >  21 [SYN] Seq=566720768 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=229667 TSecr=0 WS=1"
"3375","2456.757825","84.68.192.198","131.243.1.10","TCP","74","1184  >  21 [SYN] Seq=2442447545 Win=57344 Len=0 MSS=1380 WS=1 TSval=1158759429 TSecr=0"
"3484","2610.326519","53.55.176.50","131.243.1.10","TCP","62","10011  >  21 [SYN] Seq=17309033 Win=65535 Len=0 MSS=1460 SACK_PERM=1"
"3713","2648.311975","246.94.203.142","203.174.5.11","TCP","62","1070  >  21 [SYN] Seq=3346926217 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3913","2708.446505","216.43.247.103","131.243.1.10","TCP","74","42534  >  21 [SYN] Seq=469423174 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=1848837730 TSecr=0 WS=1"
"5256","3059.310300","24.83.76.105","131.243.1.10","TCP","62","1978  >  21 [SYN] Seq=2120492376 Win=16384 Len=0 MSS=1460"
"5596","3096.403234","49.143.255.248","131.243.1.10","TCP","62","17772  >  21 [SYN] Seq=409164775 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
