"Connection Duration","Probability"
"0","0.00863558"
"1","0.015544"
"2","0.0310881"
"3","0.0587219"
"4","0.100173"
"5","0.143351"
"6","0.169257"
"7","0.184801"
"8","0.208981"
"9","0.219344"
"10","0.240069"
"11","0.253886"
"12","0.265976"
"13","0.276339"
"14","0.28152"
"15","0.290155"
"16","0.295337"
"17","0.302245"
"18","0.305699"
"19","0.310881"
"20","0.317789"
"21","0.319516"
"22","0.322971"
"23","0.322971"
"24","0.326425"
"25","0.326425"
"26","0.328152"
"27","0.328152"
"28","0.333333"
"29","0.336788"
"30","0.341969"
"31","0.343696"
"32","0.345423"
"33","0.34715"
"34","0.350604"
"35","0.352332"
"36","0.355786"
"37","0.360967"
"38","0.366149"
"39","0.367876"
"40","0.369603"
"41","0.369603"
"42","0.37133"
"43","0.374784"
"44","0.374784"
"45","0.374784"
"46","0.379965"
"47","0.381693"
"48","0.38342"
"49","0.385147"
"50","0.392055"
"51","0.392055"
"52","0.398964"
"53","0.400691"
"54","0.400691"
"55","0.402418"
"56","0.404145"
"57","0.404145"
"58","0.404145"
"59","0.405872"
"60","0.405872"
"61","0.405872"
"62","0.407599"
"63","0.409326"
"64","0.414508"
"65","0.414508"
"66","0.414508"
"67","0.417962"
"68","0.417962"
"69","0.417962"
"70","0.419689"
"71","0.419689"
"72","0.421416"
"73","0.421416"
"74","0.42487"
"75","0.42487"
"76","0.42487"
"77","0.42487"
"78","0.428325"
"79","0.433506"
"80","0.43696"
"81","0.43696"
"82","0.43696"
"83","0.438687"
"84","0.438687"
"85","0.438687"
"86","0.438687"
"87","0.438687"
"88","0.442142"
"89","0.445596"
"90","0.447323"
"91","0.44905"
"92","0.44905"
"93","0.44905"
"94","0.44905"
"95","0.44905"
"96","0.450777"
"97","0.450777"
"98","0.450777"
"99","0.454231"
"100","0.454231"
"101","0.454231"
"102","0.455959"
"103","0.457686"
"104","0.459413"
"105","0.459413"
"106","0.459413"
"107","0.46114"
"108","0.46114"
"109","0.466321"
"110","0.466321"
"111","0.466321"
"112","0.466321"
"113","0.466321"
"114","0.466321"
"115","0.468048"
"116","0.468048"
"117","0.468048"
"118","0.468048"
"119","0.468048"
"120","0.468048"
"121","0.468048"
"122","0.468048"
"123","0.468048"
"124","0.468048"
"125","0.468048"
"126","0.469775"
"127","0.469775"
"128","0.471503"
"129","0.471503"
"130","0.474957"
"131","0.474957"
"132","0.474957"
"133","0.474957"
"134","0.476684"
"135","0.478411"
"136","0.478411"
"137","0.478411"
"138","0.478411"
"139","0.478411"
"140","0.478411"
"141","0.478411"
"142","0.478411"
"143","0.480138"
"144","0.480138"
"145","0.480138"
"146","0.481865"
"147","0.483592"
"148","0.48532"
"149","0.48532"
"150","0.487047"
"151","0.488774"
"152","0.488774"
"153","0.488774"
"154","0.492228"
"155","0.493955"
"156","0.495682"
"157","0.497409"
"158","0.499136"
"159","0.500864"
"160","0.500864"
"161","0.500864"
"162","0.500864"
"163","0.500864"
"164","0.500864"
"165","0.500864"
"166","0.500864"
"167","0.500864"
"168","0.500864"
"169","0.500864"
"170","0.500864"
"171","0.500864"
"172","0.502591"
"173","0.502591"
"174","0.502591"
"175","0.504318"
"176","0.504318"
"177","0.504318"
"178","0.506045"
"179","0.506045"
"180","0.506045"
"181","0.507772"
"182","0.507772"
"183","0.507772"
"184","0.509499"
"185","0.509499"
"186","0.509499"
