"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","248.38.9.24","131.243.1.10","TCP","74","41553  >  21 [SYN] Seq=1314531094 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3118435140 TSecr=0 WS=1"
"2","0.000682","131.243.1.10","248.38.9.24","TCP","58","21  >  41553 [SYN, ACK] Seq=3522283870 Ack=1314531095 Win=17520 Len=0 MSS=1460"
"4","0.180331","131.243.1.10","248.38.9.24","FTP","60","Response: 220-"
"34","0.372931","248.38.9.24","131.243.1.10","FTP","70","Request: USER anonymous"
"55","181.169693","217.148.52.180","131.243.2.12","TCP","62","2471  >  21 [SYN] Seq=3240012531 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"56","181.170054","131.243.2.12","217.148.52.180","TCP","62","21  >  2471 [SYN, ACK] Seq=4160427570 Ack=3240012532 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"58","181.410599","131.243.2.12","217.148.52.180","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"59","181.594332","217.148.52.180","131.243.2.12","FTP","70","Request: USER anonymous"
"115","214.658574","59.30.70.208","128.3.28.48","TCP","74","34500  >  21 [SYN] Seq=2376548815 Win=4452 Len=0 MSS=1484 SACK_PERM=1 TSval=409860 TSecr=0 WS=1"
"116","214.659322","128.3.28.48","59.30.70.208","TCP","74","21  >  34500 [SYN, ACK] Seq=3378153982 Ack=2376548816 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2268157553 TSecr=409860 WS=1"
"121","215.266410","128.3.28.48","59.30.70.208","FTP","120","Response: 220 <domain> FTP server (Version wu-2.6.1-20) ready."
"123","215.586663","59.30.70.208","128.3.28.48","FTP","82","Request: USER anonymous"
"278","299.953907","229.246.115.157","131.243.1.10","TCP","58","56646  >  21 [SYN] Seq=3601681547 Win=61320 Len=0 MSS=1460"
"279","299.954409","131.243.1.10","229.246.115.157","TCP","58","21  >  56646 [SYN, ACK] Seq=482135012 Ack=3601681548 Win=17520 Len=0 MSS=1460"
"281","300.393364","131.243.1.10","229.246.115.157","FTP","60","Response: 220-"
"313","300.844028","229.246.115.157","131.243.1.10","FTP","70","Request: USER anonymous"
"373","320.670464","189.30.8.121","131.243.1.10","TCP","62","40570  >  21 [SYN] Seq=3857849774 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"374","320.670868","131.243.1.10","189.30.8.121","TCP","58","21  >  40570 [SYN, ACK] Seq=3874753629 Ack=3857849775 Win=17520 Len=0 MSS=1460"
"377","320.773890","131.243.1.10","189.30.8.121","FTP","60","Response: 220-"
"407","320.897867","189.30.8.121","131.243.1.10","FTP","70","Request: USER anonymous"
"451","333.532263","189.30.8.121","131.243.1.10","TCP","62","40595  >  21 [SYN] Seq=3861801731 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"714","469.183003","7.82.237.222","131.243.1.10","TCP","62","5973  >  21 [SYN] Seq=2836082884 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"715","469.183483","131.243.1.10","7.82.237.222","TCP","58","21  >  5973 [SYN, ACK] Seq=4117658485 Ack=2836082885 Win=17520 Len=0 MSS=1460"
"717","469.344960","131.243.1.10","7.82.237.222","FTP","60","Response: 220-"
"747","469.517170","7.82.237.222","131.243.1.10","FTP","70","Request: USER anonymous"
"803","489.912305","7.82.237.222","131.243.1.10","TCP","62","7485  >  21 [SYN] Seq=2842551017 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
