"Client IP",Server IP",Data Sent","Data Recieved"
"0.154.22.194","131.243.1.10","2728","7064"
"0.209.26.152","128.3.12.44","2100","1957"
"1.46.157.115","242.70.74.100","683","1163"
"10.120.254.228","131.243.1.10","3579","8873"
"10.48.254.166","131.243.1.10","2926","6574"
"10.54.99.255","131.243.1.10","1723","5166"
"101.196.138.27","131.243.1.10","1075","3961"
"101.250.49.97","131.243.1.10","799","3842"
"102.246.59.135","131.243.1.10","919","3986"
"104.112.51.242","131.243.1.10","877","3956"
"104.78.52.162","128.3.12.44","448","443"
"104.94.75.193","131.243.1.10","887","3805"
"105.216.15.73","131.243.2.12","1013","3032"
"106.23.142.73","131.243.1.10","1667","4892"
"107.34.21.92","131.243.2.12","108176","3862"
"108.160.29.189","131.243.1.10","1950","5470"
"108.97.140.165","131.243.1.10","3029","6314"
"109.101.191.162","131.243.1.10","1238","4603"
"109.115.171.214","128.3.28.48","2094","1803"
"109.82.249.52","131.243.1.10","1845","5561"
"110.0.43.49","131.243.1.10","829","3949"
"110.112.122.22","131.243.2.12","20456","2710"
"110.194.218.69","128.3.12.44","1019","1481"
"112.11.35.238","131.243.1.10","1039","4424"
"112.211.22.34","128.3.12.44","806","1173"
"113.119.83.133","109.103.64.27","280","361"
"113.119.83.133","115.150.8.65","226","170"
"113.119.83.133","123.47.104.102","280","361"
"113.119.83.133","136.107.80.219","280","327"
"113.119.83.133","141.35.20.31","280","294"
"113.119.83.133","189.246.241.212","280","342"
"113.119.83.133","44.76.136.98","280","380"
"113.119.83.133","48.248.244.161","280","379"
"113.119.83.133","62.159.77.154","280","342"
"113.120.111.174","131.243.1.10","1170","4638"
"113.128.42.87","131.243.1.10","861","3910"
"113.187.213.87","131.243.1.10","845","3826"
"114.207.221.113","128.3.12.44","1012","1504"
"114.207.221.113","131.243.1.10","1016","4305"
"114.65.171.55","128.3.12.44","1900","1816"
"114.85.69.52","131.243.1.10","1011","3841"
"114.95.13.30","131.243.1.10","2138","28049"
"115.112.177.179","131.243.1.10","995","4287"
"115.210.47.101","131.243.1.10","1499","5039"
"116.130.121.238","131.243.1.10","1531","4358"
"116.177.87.124","131.243.1.10","1412","5145"
"117.105.159.60","131.243.1.10","1425","4670"
"117.14.188.61","131.243.1.10","1102","4364"
"117.21.117.233","131.243.1.10","8926","19888"
"117.24.23.165","131.243.1.10","742","3698"
"117.30.154.129","131.243.1.10","1450","5352"
"119.143.49.53","131.243.1.10","1048","4436"
"12.31.155.170","128.3.12.44","1269","1311"
"12.95.159.168","192.207.159.141","966","863"
"120.151.219.31","131.243.1.10","753","3929"
"120.198.119.152","131.243.1.10","963","4220"
"121.204.82.134","131.243.2.12","33232","2174"
"121.77.46.153","131.243.1.10","935","4285"
"122.61.158.172","131.243.1.10","3183","8641"
"122.8.173.156","128.3.12.44","2098","2470"
"123.125.239.10","128.3.28.48","7410","5928"
"123.200.33.41","128.3.28.48","855","1274"
"123.88.136.168","131.243.1.10","990","4286"
"124.222.114.147","128.3.12.44","1162","1861"
"124.8.48.90","131.243.56.235","736","2628"
"125.213.16.119","131.243.1.10","532","3424"
"125.213.16.119","203.174.5.11","24352","19015"
"125.253.42.25","131.243.2.12","34803","2370"
"126.246.56.2","131.243.1.10","1951","5709"
"126.63.134.108","131.243.1.10","1497","5245"
"127.115.69.174","131.243.1.10","1153","4583"
"127.41.21.123","131.243.1.10","1702","5108"
"128.150.176.248","131.243.1.10","1510","5259"
"129.46.223.60","131.243.1.10","927","4035"
"129.64.134.193","131.243.1.10","826","3958"
"129.80.74.185","131.243.1.10","1370","4805"
"13.172.243.255","131.243.1.10","1633","5108"
"13.199.22.210","131.243.1.10","4722","11400"
"130.10.35.180","128.3.12.44","1137","1656"
"130.140.30.45","131.243.1.10","1308","5004"
"131.201.66.31","131.243.2.12","44961","3110"
"131.201.66.31","203.174.5.11","33617","766"
"131.213.89.179","131.243.1.10","1058","4333"
"132.117.139.183","131.243.1.10","26380","47681"
"132.239.174.251","131.243.1.10","733","3671"
"132.255.2.152","131.243.1.10","1506","4282"
"132.35.151.202","131.243.1.10","1880","6128"
"132.88.200.72","128.3.12.44","903","1265"
"133.183.60.94","131.243.1.10","1792","5325"
"135.234.177.81","131.243.1.10","903","4286"
"136.118.224.122","131.243.2.12","21581","3272"
"136.122.112.38","131.243.1.10","1285","4646"
"136.67.138.179","131.243.1.10","809","4153"
"137.89.200.240","131.243.1.10","1006","4286"
"138.205.202.81","131.243.1.10","1046","4229"
"138.65.189.194","128.3.12.44","1360","1655"
"139.152.166.28","128.3.12.44","1330","1149"
"139.48.62.62","131.243.1.10","1883","4616"
"14.8.249.73","131.243.1.10","1125","4291"
"142.113.9.0","131.243.1.10","706","3296"
"142.122.251.111","131.243.2.12","32916","2398"
"142.141.91.149","131.243.2.12","15735","2308"
"142.238.159.102","131.243.1.10","962","4306"
"142.56.12.93","131.243.1.10","1548","4615"
"143.109.199.127","128.3.28.48","14707","12831"
"143.156.1.2","131.243.2.12","138877","5282"
"143.248.150.114","131.243.1.10","3507","8765"
"144.11.225.104","131.243.2.12","3073","5322"
"144.112.146.203","131.243.1.10","1512","5541"
"145.72.124.64","128.3.12.44","4609","3224"
"146.15.82.192","109.103.64.27","228","148"
"146.15.82.192","123.47.104.102","228","148"
"146.15.82.192","15.211.84.231","228","143"
"146.15.82.192","44.76.136.98","564","326"
"146.15.82.192","48.248.244.161","228","149"
"146.25.22.32","131.243.1.10","2856","6563"
"147.224.71.202","128.3.12.44","1373","2330"
"147.74.11.41","131.243.1.10","1572","4697"
"148.111.20.136","131.243.1.10","1953","5904"
"148.75.24.53","128.3.32.63","895","1256"
"149.134.10.246","128.3.28.48","14833","13372"
"149.63.43.106","128.3.28.48","1848","1604"
"15.190.17.141","131.243.1.10","1388","4913"
"15.67.80.252","131.243.1.10","962","4097"
"150.131.93.41","131.243.1.10","1036","4285"
"150.142.170.91","131.243.1.10","917","4043"
"150.53.76.10","131.243.1.10","3633","9650"
"150.70.97.75","131.243.1.10","1586","4405"
"152.172.117.61","131.243.1.10","1150","4434"
"152.191.35.146","128.3.28.48","2465","2381"
"154.125.41.198","131.243.1.10","1499","5095"
"154.171.221.209","128.3.12.44","923","1337"
"154.195.234.248","131.243.1.10","1266","4513"
"155.127.0.177","131.243.2.12","63983","2822"
"155.138.180.253","128.3.12.44","1703","2251"
"155.95.241.100","128.3.12.44","895","1257"
"156.139.170.126","131.243.1.10","1996","6115"
"156.190.224.34","131.243.2.12","2766","3606"
"157.115.222.79","131.243.1.10","749","3857"
"157.215.230.139","131.243.1.10","977","3415"
"157.231.148.18","131.243.2.12","151292","4987"
"158.179.106.212","128.3.12.44","2537","2599"
"159.105.179.102","131.243.1.10","4485","10247"
"16.31.10.206","131.243.1.10","1747","5581"
"16.69.134.221","131.243.2.12","36379","2741"
"16.87.232.184","131.243.1.10","4780","9396"
"160.150.170.213","131.243.1.10","4139","10295"
"160.155.126.44","131.243.1.10","1125","4227"
"160.71.218.255","131.243.1.10","3879","10066"
"161.126.87.140","131.243.1.10","4089","10514"
"161.206.176.161","131.243.1.10","907","3992"
"161.248.223.152","131.243.2.12","103894","5031"
"161.60.254.203","131.243.1.10","775","3801"
"161.86.54.158","128.3.12.44","1433","2259"
"163.197.216.143","131.243.1.10","1342","4816"
"163.243.239.96","131.243.1.10","813","3837"
"163.50.170.250","131.243.1.10","1319","4605"
"164.166.204.10","131.243.1.10","10142","18722"
"165.114.58.48","131.243.1.10","676","3663"
"165.128.231.76","131.243.1.10","765","3811"
"165.16.26.143","131.243.1.10","1125","4350"
"165.2.238.121","131.243.1.10","1551","4283"
"165.252.43.195","131.243.2.12","59211","2424"
"165.78.71.101","128.3.28.48","2094","1605"
"166.76.154.15","131.243.1.10","1087","4201"
"167.132.136.3","128.3.12.44","4402","2571"
"167.19.152.85","131.243.1.10","1065","4474"
"167.67.226.104","131.243.2.12","2198","4108"
