"Server_IP","Client_IP","Server_port","Client_port"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","142.164.6.70","1313","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1383","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1383","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1383","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1383","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1383","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1383","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1385","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1385","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1385","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1385","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1385","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1388","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1388","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1388","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1388","21"
"131.243.1.10","67.243.63.146","1388","21"
"131.243.1.10","67.243.63.146","1388","21"
"131.243.1.10","67.243.63.146","1390","21"
"131.243.1.10","67.243.63.146","1390","21"
"131.243.1.10","67.243.63.146","1390","21"
"131.243.1.10","67.243.63.146","1380","21"
"131.243.1.10","67.243.63.146","1390","21"
"131.243.1.10","67.243.63.146","1390","21"
"131.243.2.12","79.37.53.67","35478","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","172.211.70.122","40037","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"131.243.1.10","180.69.204.185","1494","21"
"203.174.5.11","245.22.38.204","3157","21"
"131.243.1.10","230.23.2.245","35879","21"
"131.243.1.10","230.23.2.245","35879","21"
"131.243.1.10","230.23.2.245","35879","21"
"131.243.1.10","230.23.2.245","35879","21"
"131.243.1.10","230.23.2.245","35879","21"
"131.243.193.93","207.82.132.32","65056","21"
"131.243.193.93","207.82.132.32","65056","21"
"131.243.193.93","207.82.132.32","65056","21"
"131.243.1.10","230.23.2.245","35879","21"
"131.243.1.10","230.23.2.245","35882","21"
"131.243.1.10","230.23.2.245","35882","21"
"131.243.1.10","230.23.2.245","35882","21"
"131.243.1.10","230.23.2.245","35882","21"
"131.243.1.10","230.23.2.245","35882","21"
"131.243.1.10","230.23.2.245","35882","21"
"131.243.2.12","79.37.53.67","33678","21"
"131.243.1.10","122.28.199.241","3136","21"
"131.243.1.10","122.28.199.241","3136","21"
"131.243.1.10","122.28.199.241","3136","21"
"131.243.1.10","122.28.199.241","3136","21"
"131.243.1.10","122.28.199.241","3136","21"
"131.243.1.10","122.28.199.241","3136","21"
"131.243.1.10","122.28.199.241","3141","21"
"131.243.1.10","122.28.199.241","3141","21"
"131.243.1.10","122.28.199.241","3141","21"
"131.243.1.10","122.28.199.241","3141","21"
"131.243.1.10","122.28.199.241","3141","21"
"128.3.28.48","104.205.27.72","42009","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","4.251.189.14","46315","21"
"131.243.1.10","148.111.20.136","43567","21"
"131.243.1.10","148.111.20.136","43567","21"
